controller_id,source_row,canonical_model_code,display_name_evidence,network_evidence,uid_or_address_evidence,lor_network,lor_uid_start_hex,lor_uid_count,lor_uid_end_hex,management_ip,for_what_evidence
1146,177,CTB04Dg3,HW-WaitTime-5Min,Reg,9,Regular,09,1,09,,Hwy 42 Signs Group 3 09-01
1147,59,CTB32,GW-Tree-02,Reg,C2,Regular,C2,1,C2,,
1148,60,CTB32,GW-Tree-05,Reg,C3,Regular,C3,1,C3,,
1149,33,PixCon16,WV-MtCrumpitPanel-01,E1.31,IP,,,,,10.10.5.17,10.10.5.17
1150,72,CTB04Dg3,WW-FlickPanel,Reg,35,Regular,35,1,35,,
1151,147,CTB32,PN-Woodstock-SallyCharlie,Reg,77,Regular,77,1,77,,Peanuts
1152,173,CTB04Dg3,ElfOnShelf-05,Reg,94,Regular,94,1,94,,
1153,166,Pixie2D,QV-Lollypops,Aux-A,2-3,Aux A,02,2,03,,Group 1 Pixie2 controller
1154,125,Pixie2D,GG-EldenV2-30-01,Aux-F,30,Aux F,30,1,30,,
1155,126,Pixie2D,GG-EldenV2-30-02,Aux-F,30,Aux F,30,1,30,,
1156,131,Pixie2D,GG-FelixV2-32-01,Aux-F,32,Aux F,32,1,32,,
1157,132,Pixie2D,GG-FelixV2-32-02,Aux-F,32,Aux F,32,1,32,,
1158,137,Pixie2D,GG-RalphieV2-34-01,Aux-F,34,Aux F,34,1,34,,
1159,138,Pixie2D,GG-RalphieV2-34-02,Aux-F,34,Aux F,34,1,34,,
1160,143,Pixie2D,GG-ZuzuV2-36-01,Aux-F,36,Aux F,36,1,36,,
1161,144,Pixie2D,GG-ZuzuV2-36-02,Aux-F,36,Aux F,36,1,36,,
1162,150,Pixie2D,TC-FryingSanta,Aux-F,41,Aux F,41,1,41,,Grill Flame on Grillin Santa
1163,24,Pixie2D,FC-LogoTreeStar,Aux-H,1-2,Aux H,01,2,02,,LogoTree Star front
1164,25,Pixie2D,FC-LogoTreeStar,Aux-H,3-4,Aux H,03,2,04,,LogoTree Star rear
1165,23,CTB32,FC-LogoTree,Aux-H,5,Aux H,05,1,05,,LogoTree
